Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,128364,-,-,-,38.29,-122.14,-8,195,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2013,1,1,0,0,0,0,0,0,0,0,0,0,164.46,0,0.12676000595092773,2.0,1.0,195.60000000000002,92.93,1,1000.0
2013,1,1,0,30,0,0,0,0,0,0,0,0,164.21,0,0.12676000595092773,2.1,1.065,195.60000000000002,92.94,1,1000.0
2013,1,1,1,0,0,0,0,0,0,0,0,0,161.58,0,0.12676000595092773,2.3000000000000003,1.1300000000000001,191.60000000000002,98.52,1,1000.0
2013,1,1,1,30,0,0,0,0,0,0,0,0,157.4,0,0.12676000595092773,2.4000000000000004,1.179,191.60000000000002,98.53,1,1000.0
2013,1,1,2,0,0,0,0,0,0,0,1,1,152.37,0,0.12676000595092773,2.6,1.229,193.10000000000002,98.59,2,1000.0
2013,1,1,2,30,0,0,0,0,0,0,1,1,146.9,0,0.12676000595092773,2.8000000000000003,1.224,193.10000000000002,98.58,2,1000.0
2013,1,1,3,0,0,0,0,0,0,0,1,2,141.19,0,0.12676000595092773,3.0,1.22,198.9,100.0,2,1000.0
2013,1,1,3,30,0,0,0,0,0,0,4,1,135.36,0,0.12676000595092773,3.1,1.178,198.9,100.0,1,1000.0
2013,1,1,4,0,0,0,0,0,0,0,4,1,129.49,0,0.12676000595092773,3.3000000000000003,1.1380000000000001,204.8,100.0,1,1000.0
2013,1,1,4,30,0,0,0,0,0,0,1,0,123.61,0,0.12676000595092773,3.4000000000000004,1.088,204.8,100.0,0,1000.0
2013,1,1,5,0,0,0,0,0,0,0,4,0,117.76,0,0.12676000595092773,3.6,1.039,208.8,99.21000000000001,0,1000.0
