Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,135867,-,-,-,38.93,-122.3,-8,644,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature
2011,1,1,0,0,0,0,0,0.9,0
2011,1,1,0,30,0,0,0,0.9,0
2011,1,1,1,0,0,0,0,1.0,0
2011,1,1,1,30,0,0,0,1.0,0
2011,1,1,2,0,0,0,0,1.1,0
2011,1,1,2,30,0,0,0,1.1,0
2011,1,1,3,0,0,0,0,1.2000000000000002,0
2011,1,1,3,30,0,0,0,1.2000000000000002,0
2011,1,1,4,0,0,0,0,1.2000000000000002,0
2011,1,1,4,30,0,0,0,1.2000000000000002,0
2011,1,1,5,0,0,0,0,1.2000000000000002,0
2011,1,1,5,30,0,0,0,1.2000000000000002,0
2011,1,1,6,0,0,0,0,1.2000000000000002,0
2011,1,1,6,30,0,0,0,1.3,0
2011,1,1,7,0,0,0,0,1.5,0
2011,1,1,7,30,0,0,0,1.8,0
2011,1,1,8,0,49,31,241,2.1,0
2011,1,1,8,30,122,52,440,2.4000000000000004,0
2011,1,1,9,0,202,62,605,2.8000000000000003,0
2011,1,1,9,30,276,72,688,3.0,0
2011,1,1,10,0,334,93,680,3.2,1
2011,1,1,10,30,23,23,0,3.3000000000000003,1
2011,1,1,11,0,48,48,0,3.4000000000000004,1
2011,1,1,11,30,33,33,0,3.3000000000000003,1
2011,1,1,12,0,8,8,0,3.3000000000000003,1
2011,1,1,12,30,17,17,0,3.2,1
2011,1,1,13,0,128,128,0,3.1,2
2011,1,1,13,30,116,116,0,2.9000000000000004,2
2011,1,1,14,0,27,27,0,2.8000000000000003,2
2011,1,1,14,30,47,47,0,2.5,2
2011,1,1,15,0,107,105,8,2.4000000000000004,2
2011,1,1,15,30,41,41,0,2.2,2
2011,1,1,16,0,25,25,0,2.0,2
2011,1,1,16,30,8,8,0,2.0,2
2011,1,1,17,0,0,0,0,2.1,2
2011,1,1,17,30,0,0,0,2.1,2
2011,1,1,18,0,0,0,0,2.2,2
2011,1,1,18,30,0,0,0,2.1,2
2011,1,1,19,0,0,0,0,2.1,2
2011,1,1,19,30,0,0,0,2.0,2
2011,1,1,20,0,0,0,0,1.9000000000000001,2
2011,1,1,20,30,0,0,0,1.9000000000000001,2
2011,1,1,21,0,0,0,0,1.9000000000000001,2
2011,1,1,21,30,0,0,0,1.8,2
2011,1,1,22,0,0,0,0,1.8,2
2011,1,1,22,30,0,0,0,1.8,2
2011,1,1,23,0,0,0,0,1.8,2
2011,1,1,23,30,0,0,0,1.8,2
2011,1,2,0,0,0,0,0,1.9000000000000001,2
2011,1,2,0,30,0,0,0,1.8,2
2011,1,2,1,0,0,0,0,1.8,2
2011,1,2,1,30,0,0,0,1.7000000000000002,2
2011,1,2,2,0,0,0,0,1.6,2
2011,1,2,2,30,0,0,0,1.6,2
2011,1,2,3,0,0,0,0,1.6,2
2011,1,2,3,30,0,0,0,1.6,2
2011,1,2,4,0,0,0,0,1.7000000000000002,2
2011,1,2,4,30,0,0,0,1.7000000000000002,2
2011,1,2,5,0,0,0,0,1.7000000000000002,2
2011,1,2,5,30,0,0,0,1.6,2
2011,1,2,6,0,0,0,0,1.6,2
2011,1,2,6,30,0,0,0,1.7000000000000002,2
2011,1,2,7,0,0,0,0,1.9000000000000001,2
2011,1,2,7,30,0,0,0,2.1,2
2011,1,2,8,0,12,12,0,2.4000000000000004,2
2011,1,2,8,30,31,31,0,2.7,2
2011,1,2,9,0,195,65,559,3.0,3
2011,1,2,9,30,81,81,0,3.1,3
2011,1,2,10,0,67,67,0,3.2,3
2011,1,2,10,30,83,83,0,3.3000000000000003,3
2011,1,2,11,0,160,156,9,3.4000000000000004,4
2011,1,2,11,30,98,98,0,3.4000000000000004,4
2011,1,2,12,0,210,192,37,3.4000000000000004,4
2011,1,2,12,30,97,97,0,3.3000000000000003,4
2011,1,2,13,0,76,76,0,3.3000000000000003,5
2011,1,2,13,30,86,86,0,3.1,5
2011,1,2,14,0,16,16,0,3.0,5
2011,1,2,14,30,37,37,0,2.7,5
2011,1,2,15,0,9,9,0,2.5,5
2011,1,2,15,30,3,3,0,1.9000000000000001,4
2011,1,2,16,0,24,24,0,1.4000000000000001,4
2011,1,2,16,30,40,28,182,1.4000000000000001,3
2011,1,2,17,0,0,0,0,1.4000000000000001,3
2011,1,2,17,30,0,0,0,1.5,2
2011,1,2,18,0,0,0,0,1.6,2
2011,1,2,18,30,0,0,0,1.6,2
2011,1,2,19,0,0,0,0,1.6,2
2011,1,2,19,30,0,0,0,1.6,1
2011,1,2,20,0,0,0,0,1.6,1
2011,1,2,20,30,0,0,0,1.6,1
2011,1,2,21,0,0,0,0,1.6,1
2011,1,2,21,30,0,0,0,1.6,1
2011,1,2,22,0,0,0,0,1.6,2
2011,1,2,22,30,0,0,0,1.5,2
2011,1,2,23,0,0,0,0,1.5,2
2011,1,2,23,30,0,0,0,1.5,2
2011,1,3,0,0,0,0,0,1.5,2
2011,1,3,0,30,0,0,0,1.5,1
2011,1,3,1,0,0,0,0,1.6,1
2011,1,3,1,30,0,0,0,1.7000000000000002,1
2011,1,3,2,0,0,0,0,1.8,1
2011,1,3,2,30,0,0,0,1.8,0
2011,1,3,3,0,0,0,0,1.8,0
2011,1,3,3,30,0,0,0,1.7000000000000002,0
2011,1,3,4,0,0,0,0,1.7000000000000002,0
2011,1,3,4,30,0,0,0,1.6,0
2011,1,3,5,0,0,0,0,1.5,0
2011,1,3,5,30,0,0,0,1.4000000000000001,0
2011,1,3,6,0,0,0,0,1.4000000000000001,0
2011,1,3,6,30,0,0,0,1.5,0
2011,1,3,7,0,0,0,0,1.6,0
2011,1,3,7,30,0,0,0,1.7000000000000002,0
2011,1,3,8,0,48,30,235,1.9000000000000001,1
2011,1,3,8,30,120,52,432,2.0,2
2011,1,3,9,0,197,65,567,2.2,3
2011,1,3,9,30,271,76,652,2.2,3
2011,1,3,10,0,341,74,752,2.2,4
2011,1,3,10,30,397,79,790,2.1,5
2011,1,3,11,0,439,83,816,2.1,6
2011,1,3,11,30,468,85,832,2.0,6
2011,1,3,12,0,483,86,840,1.9000000000000001,7
2011,1,3,12,30,482,86,840,1.8,7
2011,1,3,13,0,470,79,851,1.8,7
2011,1,3,13,30,440,77,835,1.7000000000000002,7
2011,1,3,14,0,397,73,814,1.7000000000000002,8
2011,1,3,14,30,341,68,777,1.6,7
2011,1,3,15,0,276,61,731,1.5,7
2011,1,3,15,30,201,53,653,1.3,5
2011,1,3,16,0,123,40,542,1.2000000000000002,4
2011,1,3,16,30,48,24,342,1.0,3
2011,1,3,17,0,0,0,0,0.8,2
2011,1,3,17,30,0,0,0,0.8,1
2011,1,3,18,0,0,0,0,0.8,1
2011,1,3,18,30,0,0,0,0.8,0
2011,1,3,19,0,0,0,0,0.9,0
2011,1,3,19,30,0,0,0,0.9,0
2011,1,3,20,0,0,0,0,0.9,0
2011,1,3,20,30,0,0,0,0.9,0
2011,1,3,21,0,0,0,0,0.9,0
2011,1,3,21,30,0,0,0,0.9,0
2011,1,3,22,0,0,0,0,0.9,0
2011,1,3,22,30,0,0,0,0.9,0
2011,1,3,23,0,0,0,0,1.0,0
2011,1,3,23,30,0,0,0,1.0,0
2011,1,4,0,0,0,0,0,1.0,0
2011,1,4,0,30,0,0,0,1.2000000000000002,0
2011,1,4,1,0,0,0,0,1.5,0
2011,1,4,1,30,0,0,0,1.6,0
2011,1,4,2,0,0,0,0,1.8,-1
2011,1,4,2,30,0,0,0,1.8,-1
2011,1,4,3,0,0,0,0,1.8,-1
2011,1,4,3,30,0,0,0,1.8,-1
2011,1,4,4,0,0,0,0,1.9000000000000001,-1
2011,1,4,4,30,0,0,0,1.9000000000000001,-1
2011,1,4,5,0,0,0,0,1.9000000000000001,-1
2011,1,4,5,30,0,0,0,1.9000000000000001,-1
2011,1,4,6,0,0,0,0,2.0,-1
2011,1,4,6,30,0,0,0,2.0,-1
2011,1,4,7,0,0,0,0,2.1,-1
2011,1,4,7,30,0,0,0,2.2,0
2011,1,4,8,0,56,24,412,2.3000000000000003,0
2011,1,4,8,30,134,38,604,2.3000000000000003,1
2011,1,4,9,0,215,48,716,2.3000000000000003,3
2011,1,4,9,30,291,55,789,2.2,4
2011,1,4,10,0,359,60,840,2.1,5
2011,1,4,10,30,415,63,874,2.0,5
2011,1,4,11,0,458,67,892,2.0,6
2011,1,4,11,30,487,69,905,1.9000000000000001,6
2011,1,4,12,0,502,70,911,1.9000000000000001,7
2011,1,4,12,30,502,70,911,1.8,7
2011,1,4,13,0,487,67,909,1.8,8
2011,1,4,13,30,457,66,896,1.6,8
2011,1,4,14,0,413,62,876,1.5,8
2011,1,4,14,30,357,59,843,1.2000000000000002,7
