Latitude,Longitude,Country,Extreme Annual Mean Min Dry Bulb Temperature,Extreme Annual Standard Deviation Min Dry Bulb Temperature,20-Year Return Period Extreme Min Dry Bulb Temperature,50-Year Return Period Extreme Min Dry Bulb Temperature
70.933,-8.667,SJM,-15.6,2.9,-21,-23.1
77,15.5,SJM,-23.7,2.8,-28.9,-30.9
78.917,11.933,SJM,-25.4,3.6,-32.2,-34.9
78.246,15.466,SJM,-29,4.8,-38.1,-41.6
69.293,16.144,NOR,-11.9,1.3,-14.2,-15.2
69.6,17.833,NOR,-10.4,2.7,-15.5,-17.5
69.056,18.54,NOR,-27.5,2.3,-31.8,-33.5
69.683,18.919,NOR,-14.5,1.5,-17.3,-18.4
69.65,18.933,NOR,-13.1,2.3,-17.3,-19
74.517,19.017,SJM,-20.6,4.1,-28.3,-31.2
70.25,19.5,NOR,-8.2,2,-11.9,-13.3
69.383,20.283,NOR,-22.9,2.8,-28.2,-30.3
69.787,20.959,NOR,-19.8,3.6,-26.4,-29
69.017,23.067,NOR,-38.4,4.3,-46.6,-49.7
69.976,23.372,NOR,-22.8,3.2,-28.7,-31
70.683,23.683,NOR,-16.7,1.8,-20,-21.3
71.1,23.983,NOR,-10.8,2.5,-15.5,-17.3
69.567,23.533,NOR,-35.6,2.7,-40.7,-42.6
70.069,24.973,NOR,-26.5,3.4,-32.7,-35.2
76.5,25.067,SJM,-27.2,4.6,-35.8,-39.2
69.467,25.517,NOR,-39,2.6,-43.8,-45.7
71.1,28.233,NOR,-14.5,2.5,-19.2,-20.9
69.726,29.893,NOR,-28.8,2.8,-34,-36
70.7,30.083,NOR,-15.9,3.3,-22,-24.4
70.367,31.1,NOR,-14.3,2.6,-19.2,-21.2
65.2,11,NOR,-7.5,2.8,-12.7,-14.7
65.333,7.317,NOR,-4.8,1.5,-7.5,-8.6
67.527,12.104,NOR,N/A,N/A,N/A,N/A
66.767,12.483,NOR,-6.6,1.7,-9.8,-11
66.367,12.617,NOR,-8.1,2.4,-12.6,-14.3
67.4,13.883,NOR,-8,2.2,-12,-13.5
67.269,14.365,NOR,-11.9,1.7,-15.1,-16.4
68.607,14.433,NOR,-8.2,1.4,-10.8,-11.8
68.15,14.65,NOR,-7.4,2.1,-11.3,-12.8
68.7,15.417,NOR,-11.5,1.4,-14.2,-15.3
68.8,16.533,NOR,-12.2,2,-16,-17.4
68.491,16.678,NOR,-21.8,0.9,-23.5,-24.2
62.033,4.983,NOR,N/A,N/A,N/A,N/A
62.333,5.267,NOR,-3.8,1.6,-6.9,-8
62.56,6.11,NOR,-6.1,2.3,-10.5,-12.2
62.867,6.533,NOR,-4.5,1.8,-7.9,-9.2
62.233,7.417,NOR,-10.3,1.6,-13.2,-14.3
63.112,7.825,NOR,-8.3,3.1,-14.1,-16.4
63.517,7.95,NOR,-6,2.5,-10.6,-12.4
63.85,8.467,NOR,-6.2,2.2,-10.3,-11.9
62.083,9.117,NOR,-23.7,2.9,-29.1,-31.2
63.317,9.85,NOR,-20.5,3.4,-26.8,-29.3
62.117,9.283,NOR,-22.6,2.8,-27.7,-29.7
64.167,9.4,NOR,-7.5,3,-13.1,-15.3
63.699,9.604,NOR,-12.8,2.7,-17.8,-19.8
63.417,10.45,NOR,-17.2,2.8,-22.4,-24.5
64.8,10.55,NOR,-8.6,3.1,-14.4,-16.6
62.267,10.733,NOR,-35.5,3.2,-41.4,-43.7
63.458,10.94,NOR,-18.2,3.4,-24.6,-27.1
63.233,11.017,NOR,-21,4.6,-29.7,-33.1
64.017,11.45,NOR,-17.8,2.7,-22.9,-24.9
62.567,11.383,NOR,-35.8,3.3,-42,-44.4
63.417,11.733,NOR,-23.8,2.8,-29,-31
61.2,2.267,NOR,-2.2,1.1,-4.3,-5.1
61.567,4.683,NOR,-3.9,1.7,-7.1,-8.3
60.75,4.717,NOR,-3.9,2,-7.6,-9.1
60.293,5.218,NOR,-8.6,2.2,-12.6,-14.2
60.383,5.333,NOR,-8.4,2.1,-12.3,-13.8
